CAS,Density g/ml,V/ul,loading solvent,Volume of loading solvent/ul,PE/EA,Flow mL/min,Ending time,column_specs,t1,t2,smiles,verified t1,verified t2
4180-23-8,0.988,100,DCM,400,90/10,10,2024-12-03_19-50-35.xlsx,CN,267,1898,C/C=C/C1=CC=C(C=C1)OC,267,1898
4180-23-8,0.988,100,DCM,400,80/20,10,2024-12-03_19-55-17.xlsx,CN,530,1799,C/C=C/C1=CC=C(C=C1)OC,530,1799
4180-23-8,0.988,100,DCM,400,70/30,10,2024-12-03_20-03-15.xlsx,CN,537,3738,C/C=C/C1=CC=C(C=C1)OC,537,3738
4180-23-8,0.988,100,DCM,400,60/40,10,2024-12-03_20-33-49.xlsx,CN,-1,-1,C/C=C/C1=CC=C(C=C1)OC,-1,-1
4180-23-8,0.988,100,DCM,400,50/50,10,2024-12-03_20-53-21.xlsx,CN,364,10441,C/C=C/C1=CC=C(C=C1)OC,364,10441
100-86-7,0.974,100,DCM,400,90/10,10,2024-12-04_09-22-36.xlsx,CN,351,773,CC(C)(CC1=CC=CC=C1)O,351,773
100-86-7,0.974,100,DCM,400,80/20,10,2024-12-04_09-25-53.xlsx,CN,544,943,CC(C)(CC1=CC=CC=C1)O,544,943
100-86-7,0.974,100,DCM,400,70/30,10,2024-12-04_09-29-11.xlsx,CN,465,894,CC(C)(CC1=CC=CC=C1)O,465,894
100-86-7,0.974,100,DCM,400,60/40,10,2024-12-04_09-33-05.xlsx,CN,565,1283,CC(C)(CC1=CC=CC=C1)O,565,1283
100-86-7,0.974,100,DCM,400,50/50,10,2024-12-04_09-37-08.xlsx,CN,643,1397,CC(C)(CC1=CC=CC=C1)O,643,1397
580-13-2,1.605,100,DCM,400,90/10,10,2024-12-04_09-47-32.xlsx,CN,558,1276,C1=CC=C2C=C(C=CC2=C1)Br,558,1276
580-13-2,1.605,100,DCM,400,80/20,10,2024-12-04_09-50-59.xlsx,CN,545,1017,C1=CC=C2C=C(C=CC2=C1)Br,545,1017
580-13-2,1.605,100,DCM,400,70/30,10,2024-12-04_09-54-51.xlsx,CN,584,1275,C1=CC=C2C=C(C=CC2=C1)Br,584,1275
580-13-2,1.605,100,DCM,400,60/40,10,2024-12-04_10-00-33.xlsx,CN,691,2363,C1=CC=C2C=C(C=CC2=C1)Br,691,2363
580-13-2,1.605,100,DCM,400,50/50,10,2024-12-04_10-09-02.xlsx,CN,1520,4017,C1=CC=C2C=C(C=CC2=C1)Br,1520,4017
25574-11-2,1.41,100,DCM,400,90/10,10,2024-12-04_10-58-07.xlsx,CN,287,860,C1=CC(=CC=C1CCCO)Br,287,860
25574-11-2,1.41,100,DCM,400,80/20,10,2024-12-04_11-01-33.xlsx,CN,525,1027,C1=CC(=CC=C1CCCO)Br,525,1027
